LINEAGE,0
GENERATION,0,0.0
LINEAGE,1
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,83.62539296330068
GENERATION,4,87.93808944495103
GENERATION,5,90.35047155596082
GENERATION,6,99.56191055504897
LINEAGE,2
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.5
GENERATION,4,87.5
GENERATION,5,93.75
GENERATION,6,99.56191055504897
GENERATION,7,100.0
GENERATION,8,100.0
LINEAGE,3
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.5
GENERATION,4,93.53095527752448
GENERATION,5,96.30340301572828
GENERATION,6,95.83333333333333
GENERATION,7,95.35047155596082
GENERATION,8,100.0
GENERATION,9,100.0
LINEAGE,4
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.5
GENERATION,4,93.75
GENERATION,5,96.87500000000001
GENERATION,6,100.0
LINEAGE,5
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,83.62539296330068
GENERATION,4,87.93808944495102
GENERATION,5,100.0
LINEAGE,6
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.5
GENERATION,4,76.7523577798041
LINEAGE,7
GENERATION,0,0.0
GENERATION,1,50.0
GENERATION,2,75.0
GENERATION,3,87.5
GENERATION,4,92.85714285714288
GENERATION,5,99.56191055504897
GENERATION,6,100.0
GENERATION,7,100.0
